[000]	FPRGSG         	KURZ     	2007.01.28h24	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    
[001]	FPRGSG         	KURZ     	2007.01.28h24	   1702969.8750	   1329857.0000	   1402509.2500	   1387922.7500	   1426124.7500	   1487386.5000	   1603726.7500	   1581014.7500	   1532558.8750	   1972942.6250	   2023974.0000	   2004326.3750	   1951155.0000	   1866942.8750	   1894595.3750	   2190003.5000	   1678583.6250	   1786799.5000	   1822014.0000	   1686793.0000	   1831924.5000	   1822319.5000	   1905383.3750	   1843349.5000	   1708037.6250	   1532580.8750	   1482288.5000	   1505399.5000	   1504738.2500	   1537327.0000	   1637796.8750	   1797471.0000	   1939212.1250	   1964494.2500	   1928957.2500	   1916615.1250	   1845832.3750	   1734647.8750	   1738142.7500	   1734982.2500	   1730921.3750	   1757914.3750	   1829612.3750	   1822476.8750	   1830473.3750	   1830742.3750	   1806699.7500	   1737163.3750	   1593754.8750	   1532580.8750	   1482288.5000	   1505399.5000	   1504738.2500	   1537327.0000	   1637796.8750	   1797471.0000	   1939212.1250	   1964494.2500	   1928957.2500	   1916615.1250	   1845832.3750	   1734647.8750	   1738142.7500	   1734982.2500	   1730921.3750	   1757914.3750	   1829612.3750	   1822476.8750	   1830473.3750	   1830742.3750	   1806699.7500	   1737163.3750	   1593754.8750	   1532580.8750	   1482288.5000	   1505399.5000	   1504738.2500	   1537327.0000	   1637796.8750	   1797471.0000	   1939212.1250	   1964494.2500	   1928957.2500	   1916615.1250	   1845832.3750	   1734647.8750	   1738142.7500	   1734982.2500	   1730921.3750	   1757914.3750	   1829612.3750	   1822476.8750	   1830473.3750	   1830742.3750	   1806699.7500	   1737163.3750	   1593754.8750	   1555128.3750	   1497968.0000	   1517810.1250	   1525150.5000	   1575496.5000	   1632675.6250	   1802121.1250	   1923652.2500	   1947676.0000	   1929857.5000	   1877772.3750	   1893441.0000	   1862674.3750	   1765042.3750	   1696432.3750	   1728037.1250	   1752495.5000	   1799391.6250	   1793795.5000	   1787912.5000	   1772196.2500	   1746891.7500	   1723676.5000	   1632950.3750	   1772104.7500	   1718074.7500	   1660808.2500	   1711360.8750	   1747223.5000	   1782099.7500	   1798754.8750	   1875943.1250	   1969252.5000	   1918905.5000	   1874200.6250	   1820494.5000	   1764692.7500	   1705081.3750	   1664926.3750	   1606297.2500	   1598833.0000	   1653586.5000	   1695947.6250	   1728954.0000	   1733734.6250	   1697814.5000	   1681620.5000	   1559533.7500	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    
[002]	FPRGSG         	KURZ     	2007.01.28h24	   1761349.7500	   1702299.1250	   1658246.3750	   1593870.8750	   1620224.3750	   1644204.2500	   1644551.7500	   1776505.7500	   1776617.1250	   1727697.7500	   1697889.1250	   1718169.7500	   1759168.3750	   1868555.3750	   1934386.1250	   1980450.7500	   1970759.2500	   1991565.1250	   2019220.2500	   2034836.8750	   2006709.1250	   1981825.8750	   1981567.0000	   1874049.7500	   1868960.3750	   1938459.2500	   1892973.1250	   1884027.2500	   1906162.5000	   1967340.1250	   2068122.3750	   2182902.5000	   2281451.0000	   2326374.5000	   2321379.7500	   2281001.5000	   2218487.5000	   2153515.2500	   2092021.1250	   2063350.2500	   2080316.6250	   2113646.7500	   2156446.0000	   2201330.5000	   2223651.5000	   2213488.5000	   2172578.2500	   2101580.2500	   2042842.5000	   1991648.8750	   1961999.8750	   1958104.6250	   1983116.1250	   2043823.6250	   2123882.0000	   2205312.2500	   2267774.0000	   2299049.7500	   2297728.0000	   2268875.2500	   2218363.2500	   2161506.2500	   2113164.7500	   2086038.0000	   2088790.7500	   2117440.0000	   2154983.0000	   2188309.0000	   2206515.0000	   2199845.5000	   2161604.7500	   2106035.5000	   2063858.3750	   2024923.6250	   2000437.6250	   1999986.0000	   2027306.0000	   2077424.8750	   2139899.2500	   2201815.0000	   2250191.5000	   2275710.5000	   2274175.2500	   2248124.5000	   2206625.7500	   2159878.5000	   2119390.0000	   2099419.2500	   2101134.5000	   2121288.5000	   2151717.2500	   2179508.2500	   2194982.0000	   2191630.5000	   2165786.2500	   2123945.7500	   2089031.2500	   1990712.7500	   1942523.5000	   1935101.6250	   1953963.8750	   2000887.0000	   2072990.1250	   2186168.0000	   2274205.2500	   2302796.7500	   2313325.5000	   2307270.5000	   2290167.0000	   2256710.5000	   2167840.7500	   2118188.0000	   2121185.5000	   2132389.5000	   2154459.0000	   2189274.5000	   2196292.2500	   2200884.0000	   2171434.2500	   2139776.5000	   2103322.5000	   1879751.3750	   1856866.3750	   1857636.2500	   1867927.0000	   1873052.6250	   1906204.6250	   1949482.6250	   1989280.2500	   2028742.1250	   1997580.0000	   1970824.3750	   1910575.6250	   1887734.0000	   1868929.7500	   1830015.6250	   1759384.5000	   1749624.6250	   1773949.7500	   1798908.7500	   1809124.2500	   1825968.6250	   1833427.8750	   1820128.8750	   1813199.2500	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    
[003]	FPRGSG         	KURZ     	2007.01.29h01	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    
[004]	FPRGSG         	KURZ     	2007.01.29h01	   1332244.5000	   1405027.1250	   1390414.5000	   1428685.1250	   1490056.8750	   1606605.8750	   1583853.1250	   1535310.3750	   1976484.6250	   2027607.7500	   2007924.7500	   1954658.0000	   1870294.6250	   1897996.8750	   2193935.2500	   1681597.2500	   1790007.3750	   1825285.1250	   1689821.3750	   1835213.3750	   1825591.1250	   1908804.1250	   1846659.0000	   1711104.0000	   1535332.2500	   1484949.6250	   1508102.1250	   1507439.7500	   1540087.0000	   1640737.2500	   1800698.1250	   1942693.6250	   1968021.1250	   1932420.3750	   1920056.1250	   1849146.2500	   1737762.1250	   1741263.2500	   1738097.1250	   1734029.0000	   1761070.3750	   1832897.1250	   1825748.8750	   1833759.6250	   1834029.1250	   1809943.3750	   1740282.2500	   1596616.1250	   1535332.2500	   1484949.6250	   1508102.1250	   1507439.7500	   1540087.0000	   1640737.2500	   1800698.1250	   1942693.6250	   1968021.1250	   1932420.3750	   1920056.1250	   1849146.2500	   1737762.1250	   1741263.2500	   1738097.1250	   1734029.0000	   1761070.3750	   1832897.1250	   1825748.8750	   1833759.6250	   1834029.1250	   1809943.3750	   1740282.2500	   1596616.1250	   1535332.2500	   1484949.6250	   1508102.1250	   1507439.7500	   1540087.0000	   1640737.2500	   1800698.1250	   1942693.6250	   1968021.1250	   1932420.3750	   1920056.1250	   1849146.2500	   1737762.1250	   1741263.2500	   1738097.1250	   1734029.0000	   1761070.3750	   1832897.1250	   1825748.8750	   1833759.6250	   1834029.1250	   1809943.3750	   1740282.2500	   1596616.1250	   1557920.2500	   1500657.3750	   1520535.0000	   1527888.6250	   1578325.0000	   1635606.7500	   1805356.5000	   1927105.7500	   1951172.6250	   1933322.2500	   1881143.5000	   1896840.3750	   1866018.5000	   1768211.1250	   1699478.0000	   1731139.5000	   1755641.7500	   1802622.0000	   1797015.8750	   1791122.3750	   1775377.8750	   1750028.0000	   1726771.0000	   1635882.0000	   1775286.2500	   1721159.2500	   1663790.0000	   1714433.2500	   1750360.2500	   1785299.2500	   1801984.1250	   1879311.0000	   1972788.0000	   1922350.5000	   1877565.3750	   1823762.8750	   1767861.0000	   1708142.5000	   1667915.5000	   1609181.0000	   1601703.3750	   1656555.2500	   1698992.3750	   1732058.0000	   1736847.2500	   1700862.6250	   1684639.5000	   1562333.6250	   1577273.0000	   1576539.8750	   1652507.8750	   1576593.2500	   1581865.8750	   1658263.0000	   1759299.0000	   1883434.1250	   1894505.5000	   1833681.3750	   1855701.8750	   1731295.6250	   1739487.1250	   1712733.3750	   1677208.2500	   1675362.1250	   1718947.5000	   1761154.2500	   1792670.5000	   1863001.6250	   1889532.5000	   1859179.0000	   1788602.2500	   1756343.0000
[005]	FPRGSG         	KURZ     	2007.01.29h01	   1671420.6250	   1663740.3750	   1605199.5000	   1630981.8750	   1645804.0000	   1674048.1250	   1802519.3750	   1797332.2500	   1748826.6250	   1696330.5000	   1701678.0000	   1762388.7500	   1860942.0000	   1928712.8750	   1962767.0000	   1950911.5000	   1976529.8750	   1985406.5000	   1997849.5000	   1966665.5000	   1941744.5000	   1911793.7500	   1825360.5000	   1726211.1250	   1876130.5000	   1844152.6250	   1839640.5000	   1870060.5000	   1935170.0000	   2043482.2500	   2162463.2500	   2262104.7500	   2307604.2500	   2302410.5000	   2263176.5000	   2199083.5000	   2135463.5000	   2079279.3750	   2049658.8750	   2069203.6250	   2106461.0000	   2148425.2500	   2196830.7500	   2216914.0000	   2203665.2500	   2161625.7500	   2077328.2500	   1989180.6250	   1934775.1250	   1901268.0000	   1898994.1250	   1932058.6250	   1996946.0000	   2082089.1250	   2171282.5000	   2241326.7500	   2276035.2500	   2274786.7500	   2241817.2500	   2191421.7500	   2135748.7500	   2088011.1250	   2064320.3750	   2071773.2500	   2102061.7500	   2144635.5000	   2180425.2500	   2198029.7500	   2189148.5000	   2148604.2500	   2083072.1250	   2009350.7500	   1968625.1250	   1944073.5000	   1945015.3750	   1976579.3750	   2032607.2500	   2102929.0000	   2171681.5000	   2224518.0000	   2252120.7500	   2250057.5000	   2222229.2500	   2178568.2500	   2131598.7500	   2093807.0000	   2074201.5000	   2079747.7500	   2104659.0000	   2138099.2500	   2168194.0000	   2182711.2500	   2174519.5000	   2142749.0000	   2090117.7500	   2031333.1250	   1918089.2500	   1877177.7500	   1878838.0000	   1899094.0000	   1945919.6250	   2021694.6250	   2142617.5000	   2237586.7500	   2258741.7500	   2277300.0000	   2266448.7500	   2245212.2500	   2218144.5000	   2129744.7500	   2084042.3750	   2094199.2500	   2104654.7500	   2130759.7500	   2163655.0000	   2171855.0000	   2175939.7500	   2146058.5000	   2107844.2500	   2033776.1250	   1694683.3750	   1664016.8750	   1649732.2500	   1673707.3750	   1691770.3750	   1736929.6250	   1789686.1250	   1848022.2500	   1914730.1250	   1884451.5000	   1874602.8750	   1828322.3750	   1803499.8750	   1785461.3750	   1762757.1250	   1734455.7500	   1732495.3750	   1775181.8750	   1804631.5000	   1831202.2500	   1866643.1250	   1865152.5000	   1841320.1250	   1771977.6250	   1730427.3750	   1678993.2500	   1685703.1250	   1688652.7500	   1709825.7500	   1768208.8750	   1803319.6250	   1862864.7500	   1886286.3750	   1858843.5000	   1824931.8750	   1750341.6250	   1718472.3750	   1675039.8750	   1660435.8750	   1674110.7500	   1702255.7500	   1746110.0000	   1805342.3750	   1836542.8750	   1835069.0000	   1837238.2500	   1785485.1250	   1739159.2500
[006]	FPRGSG         	KURZ     	2007.01.29h02	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    
[007]	FPRGSG         	KURZ     	2007.01.29h02	   1792471.7500	   1773829.6250	   1822653.5000	   1900948.8750	   2049637.1250	   2020610.1250	   1958681.3750	   2521512.0000	   2586732.5000	   2561622.0000	   2493666.5000	   2386039.5000	   2421380.7500	   2798926.2500	   2145307.7500	   2283612.5000	   2328618.2500	   2155799.7500	   2341284.2500	   2329008.7500	   2435168.2500	   2355886.2500	   2182951.2500	   1958709.3750	   1894433.3750	   1923970.2500	   1923125.2500	   1964775.1250	   2093180.2500	   2297251.2500	   2478403.0000	   2510714.7500	   2465296.7500	   2449523.0000	   2359059.2500	   2216960.2500	   2221427.0000	   2217387.7500	   2212197.7500	   2246696.0000	   2338329.5000	   2329210.0000	   2339429.7500	   2339773.5000	   2309046.0000	   2220175.5000	   2036892.6250	   1958709.3750	   1894433.3750	   1923970.2500	   1923125.2500	   1964775.1250	   2093180.2500	   2297251.2500	   2478403.0000	   2510714.7500	   2465296.7500	   2449523.0000	   2359059.2500	   2216960.2500	   2221427.0000	   2217387.7500	   2212197.7500	   2246696.0000	   2338329.5000	   2329210.0000	   2339429.7500	   2339773.5000	   2309046.0000	   2220175.5000	   2036892.6250	   1958709.3750	   1894433.3750	   1923970.2500	   1923125.2500	   1964775.1250	   2093180.2500	   2297251.2500	   2478403.0000	   2510714.7500	   2465296.7500	   2449523.0000	   2359059.2500	   2216960.2500	   2221427.0000	   2217387.7500	   2212197.7500	   2246696.0000	   2338329.5000	   2329210.0000	   2339429.7500	   2339773.5000	   2309046.0000	   2220175.5000	   2036892.6250	   1987526.1250	   1914472.6250	   1939831.6250	   1949213.1250	   2013557.6250	   2086635.1250	   2303194.2500	   2458516.7500	   2489220.2500	   2466447.5000	   2399880.0000	   2419905.5000	   2380584.2500	   2255806.0000	   2168119.2500	   2208511.5000	   2239770.5000	   2299705.7500	   2292553.7500	   2285035.0000	   2264949.0000	   2232608.7500	   2202938.5000	   2086986.2500	   2264832.0000	   2195779.2500	   2122590.0000	   2187198.5000	   2233032.5000	   2277606.2500	   2298892.0000	   2397542.2500	   2516796.0000	   2452450.0000	   2395315.2500	   2326676.2500	   2255359.2500	   2179173.0000	   2127853.2500	   2052922.2500	   2043382.7500	   2113360.2500	   2167499.5000	   2209683.2500	   2215793.2500	   2169885.5000	   2149189.0000	   1993156.5000	   2012215.3750	   2011280.1250	   2108196.7500	   2011348.1250	   2018074.8750	   2115539.0000	   2244436.0000	   2402802.2500	   2416926.7500	   2339330.0000	   2367422.7500	   2208710.7500	   2219161.0000	   2185030.0000	   2139708.5000	   2137353.2500	   2192957.7500	   2246803.0000	   2287010.2500	   2376735.5000	   2410582.5000	   2371858.7500	   2281820.0000	   2240665.2500	          .    
[008]	FPRGSG         	KURZ     	2007.01.29h02	   1664294.2500	   1568995.5000	   1607372.0000	   1637247.1250	   1651768.1250	   1785677.0000	   1772210.3750	   1743281.1250	   1691908.8750	   1705529.7500	   1752574.0000	   1846497.8750	   1925349.2500	   1958856.6250	   1952662.3750	   1976996.5000	   1984150.1250	   2004963.6250	   1973902.3750	   1949537.8750	   1918501.3750	   1849756.8750	   1741372.7500	   1891321.3750	   1855868.0000	   1850804.3750	   1880353.2500	   1942874.5000	   2051166.0000	   2168825.5000	   2268576.7500	   2312904.2500	   2306848.5000	   2268212.5000	   2203086.5000	   2138999.7500	   2082593.0000	   2052996.7500	   2070445.3750	   2109134.2500	   2150091.5000	   2198044.2500	   2217193.7500	   2204331.0000	   2160618.0000	   2077090.6250	   1992091.1250	   1908147.2500	   1882408.3750	   1883944.7500	   1917374.2500	   1985140.8750	   2070409.3750	   2161181.5000	   2232852.5000	   2268829.5000	   2269151.7500	   2237010.0000	   2186345.7500	   2130317.2500	   2082748.1250	   2060351.3750	   2066844.1250	   2098476.0000	   2141602.2500	   2177380.0000	   2196512.7500	   2187596.7500	   2146418.7500	   2083562.1250	   2007109.3750	   1940554.0000	   1918817.5000	   1921740.8750	   1954758.3750	   2013305.0000	   2085490.6250	   2157553.2500	   2213430.7500	   2243044.7500	   2241851.0000	   2214299.7500	   2170232.2500	   2122492.5000	   2084904.3750	   2066789.6250	   2071798.3750	   2098293.2500	   2132772.0000	   2163818.0000	   2179597.7500	   2171073.7500	   2137804.7500	   2084504.8750	   2020699.0000	   1967717.8750	   1937421.2500	   1940816.0000	   1960195.2500	   2010376.0000	   2084926.6250	   2199410.7500	   2288903.2500	   2303514.0000	   2317362.0000	   2303915.7500	   2280646.7500	   2250773.5000	   2161418.2500	   2114250.7500	   2124236.2500	   2126776.7500	   2150921.0000	   2176306.5000	   2183241.0000	   2184217.0000	   2152436.7500	   2113082.7500	   2046884.6250	   1856676.8750	   1848578.7500	   1835052.2500	   1860050.5000	   1869995.5000	   1901901.2500	   1942978.1250	   1993080.8750	   2045300.8750	   2000227.2500	   1986996.1250	   1929441.2500	   1897744.0000	   1876441.6250	   1846483.6250	   1803358.6250	   1772202.5000	   1810928.0000	   1826569.6250	   1843970.6250	   1867468.3750	   1859700.2500	   1838804.2500	   1775183.7500	   1645740.2500	   1593956.1250	   1614752.1250	   1599473.3750	   1641602.8750	   1690736.8750	   1745210.6250	   1811099.6250	   1834010.2500	   1822614.1250	   1785153.0000	   1721674.8750	   1684941.1250	   1632698.8750	   1630280.5000	   1642598.8750	   1654553.8750	   1702942.6250	   1776914.0000	   1810175.2500	   1824724.7500	   1834673.1250	   1788908.2500	   1742987.7500	          .    
[009]	FPRGSG         	KURZ     	2007.01.29h03	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    	          .    
[010]	FPRGSG         	KURZ     	2007.01.29h03	   1734510.7500	   1782252.6250	   1858812.3750	   2004204.7500	   1975821.2500	   1915265.1250	   2465620.2500	   2529395.0000	   2504841.0000	   2438391.7500	   2333150.5000	   2367708.2500	   2736885.0000	   2097754.7500	   2232994.0000	   2277002.0000	   2108014.0000	   2289387.2500	   2277384.0000	   2381190.2500	   2303665.5000	   2134563.7500	   1915292.5000	   1852441.2500	   1881323.5000	   1880497.2500	   1921223.8750	   2046782.7500	   2246330.5000	   2423466.5000	   2455062.2500	   2410651.0000	   2395226.7500	   2306768.2500	   2167819.2500	   2172186.7500	   2168237.2500	   2163162.2500	   2196895.7500	   2286498.0000	   2277580.7500	   2287574.0000	   2287910.0000	   2257863.7500	   2170963.0000	   1991742.7500	   1915292.5000	   1852441.2500	   1881323.5000	   1880497.2500	   1921223.8750	   2046782.7500	   2246330.5000	   2423466.5000	   2455062.2500	   2410651.0000	   2395226.7500	   2306768.2500	   2167819.2500	   2172186.7500	   2168237.2500	   2163162.2500	   2196895.7500	   2286498.0000	   2277580.7500	   2287574.0000	   2287910.0000	   2257863.7500	   2170963.0000	   1991742.7500	   1915292.5000	   1852441.2500	   1881323.5000	   1880497.2500	   1921223.8750	   2046782.7500	   2246330.5000	   2423466.5000	   2455062.2500	   2410651.0000	   2395226.7500	   2306768.2500	   2167819.2500	   2172186.7500	   2168237.2500	   2163162.2500	   2196895.7500	   2286498.0000	   2277580.7500	   2287574.0000	   2287910.0000	   2257863.7500	   2170963.0000	   1991742.7500	   1943470.5000	   1872036.3750	   1896833.2500	   1906006.7500	   1968925.0000	   2040382.7500	   2252141.7500	   2404021.2500	   2434044.0000	   2411776.0000	   2346684.2500	   2366265.7500	   2327816.2500	   2205803.7500	   2120060.7500	   2159557.7500	   2190123.7500	   2248730.5000	   2241737.0000	   2234385.0000	   2214744.0000	   2183120.5000	   2154108.0000	   2040726.1250	   2214629.7500	   2147107.5000	   2075540.6250	   2138717.0000	   2183535.0000	   2227120.7500	   2247934.7500	   2344398.2500	   2461008.7500	   2398089.0000	   2342220.5000	   2275103.2500	   2205366.7500	   2130869.2500	   2080687.1250	   2007417.1250	   1998089.0000	   2066515.3750	   2119454.7500	   2160703.5000	   2166677.7500	   2121787.7500	   2101550.0000	   1948976.1250	   1967612.6250	   1966698.1250	   2061466.2500	   1966764.5000	   1973342.2500	   2068645.7500	   2194685.7500	   2349541.7500	   2363353.0000	   2287476.5000	   2314946.5000	   2159752.2500	   2169971.0000	   2136596.5000	   2092279.7500	   2089976.6250	   2144348.5000	   2197000.2500	   2236316.2500	   2324052.7500	   2357149.5000	   2319284.0000	   2231241.0000	   2190998.5000	          .    	          .    
